id,name,owner,created_at
1,Microneedling Pen,Павел Гордон,2024-01-14 20:19:21.300346
2,Hand Masks,Павел Гордон,2024-01-14 20:19:21.341761
3,Moisturizing Foot Mask,Elixir,2024-01-14 20:19:21.436001
4,Charcoal Peel Off Mask,Павел Гордон,2024-01-14 20:19:21.513149
5,Moisturizing Serum,Ирина Сивальная / София Хараджа,2024-01-14 20:19:21.536926
6,Silk Heatless Curler,Ришат Хисамутдинов,2024-01-14 20:19:21.565406
7,Green Tea Mask Stick,Таня Нудельман,2024-01-14 20:19:21.582319
8,Under Eye Patches,Elixir,2024-01-14 20:19:21.607028
9,Bubble Clay Mask,Андрей Носиков,2024-01-14 20:19:21.649107
10,Gold Facial Mask,Elixir,2024-01-14 20:19:21.680881
11,Shower Steamers,Таня Нудельман,2024-01-14 20:19:21.738204
